Name,Avaliable_Online_order,Avaliable_Book_table,Rate out of 5,Votes of popularity,Phone,Location,Rest_type,Approx_cost(for two people),Approx_cost(for one people)
Nami's Global Kitchen,False,False,3.3,6,+919113224311,Indiranagar,"Takeaway, Delivery",240,120.0
Tunday Kababi,True,False,3.8,721,+919739583030,Indiranagar,Casual Dining,500,250.0
Taza Tawa,True,False,3.8,168,+917090098900,Jeevan Bhima Nagar,Quick Bites,450,225.0
Jerry Mama's,False,False,3.6,10,+919880807662,Indiranagar,Bakery,250,125.0
The Pizza Bakery,True,True,4.8,1724,08049652968,Indiranagar,Casual Dining,1200,600.0
Book My Cakes,True,False,3.3,4,"+919731933375,+919986911935",Old Airport Road,Bakery,300,150.0
Chef Fast Food,True,False,3.1,26,+917406385033,Old Airport Road,Quick Bites,300,150.0
Paratha Plaza,True,False,3.7,155,+919740258348,Indiranagar,Quick Bites,200,100.0
The Spicy Kitchen,True,False,3.3,15,+919740367000,Thippasandra,Quick Bites,300,150.0
The Donut Baker,False,False,3.2,6,08041127448,Indiranagar,"Bakery, Dessert Parlor",150,75.0
NH8,True,True,4.1,2075,"08042076575,+919620771098",Indiranagar,Casual Dining,800,400.0
La Madeleine Patisserie,False,False,3.9,71,+919899572226,Indiranagar,"Takeaway, Delivery",200,100.0
Frootality,False,False,4.0,213,"08043705686,+919845073927",Indiranagar,"Beverage Shop, Quick Bites",400,200.0
Venus Bake Point,True,False,3.5,6,+918064540004,Old Airport Road,Bakery,500,250.0
Dine @ 9 Paratha Corner,True,False,3.6,33,"+919380868077,+918192838087",Indiranagar,Quick Bites,300,150.0
Pulimunchi,True,True,4.3,686,"08041233940,0009686013675",Indiranagar,Casual Dining,1000,500.0
Punjabi Khazana,False,False,3.5,40,00636125616,Indiranagar,Quick Bites,400,200.0
Rolls On Wheels,False,False,3.2,122,"+919071734112,+919071496800",Indiranagar,Quick Bites,200,100.0
Kund Indian Barbeque,False,True,4.0,869,"08025281416,+919980934242",Indiranagar,Casual Dining,1100,550.0
New Leaf Restaurant,True,True,3.7,58,"+917975837883,+918095555686",Indiranagar,Casual Dining,1500,750.0
Origami,False,False,3.4,11,08048149564,Indiranagar,Casual Dining,700,350.0
Rayalaseema Spice,False,False,3.6,116,"08048668544,08048668744",Indiranagar,Casual Dining,650,325.0
Himalyan Inn Tibet Kitchen,False,False,3.7,42,"08025286868,+918105479527",Indiranagar,Quick Bites,400,200.0
Chitu's Kitchen,False,False,3.5,10,+919902425420,Indiranagar,Quick Bites,450,225.0
MK Dabbawala,False,False,2.6,29,"08041538606,+918041538606",Indiranagar,Delivery,400,200.0
Tempteys,False,False,4.1,131,"+919133382131,+919133382123",Indiranagar,"Dessert Parlor, Beverage Shop",400,200.0
Johny's Kitchen,True,False,4.1,59,+919848677702,Jeevan Bhima Nagar,Quick Bites,300,150.0
RICE BAR,False,False,3.0,12,+919341881122,Indiranagar,Delivery,500,250.0
Daily Bread,False,False,2.7,29,"08064560073,+919972001122",Indiranagar,"Bakery, Quick Bites",600,300.0
Neffy's - Cakes & More,False,False,3.5,24,"08025217446,+919686447446",Indiranagar,Bakery,300,150.0
Baba Fattoosh,False,False,3.7,24,+917795775000,Indiranagar,Delivery,300,150.0
Choco Allure,False,False,3.4,5,+919739409990,Indiranagar,"Takeaway, Delivery",300,150.0
Five Star Cafe,False,False,3.8,29,08066746314,Indiranagar,Quick Bites,350,175.0
Chaavadi,False,False,3.7,38,+918043024402,Indiranagar,Casual Dining,750,375.0
Tenco Infusions,False,False,3.5,15,+919242100005,Indiranagar,Beverage Shop,200,100.0
Sultan's Biryani,False,False,2.8,21,+919341772727,Indiranagar,Delivery,700,350.0
Hotel Green Land,False,False,3.3,7,+918553108443,Indiranagar,Casual Dining,400,200.0
Tosco,False,False,3.5,13,"+918050222812,+917902503510",Indiranagar,Beverage Shop,250,125.0
La Mirch,False,False,3.2,5,"08065651180,08065651181",Indiranagar,Delivery,400,200.0
Mast Kalandar,False,False,2.4,256,"08041475000,08065695283",Indiranagar,Casual Dining,450,225.0
Bismillah Ambur Biryani,False,False,3.1,8,+919342073844,Indiranagar,Quick Bites,150,75.0
Biryani Khazana,True,False,3.0,10,+919986786234,Indiranagar,"Takeaway, Delivery",600,300.0
Biryani Bazar,False,False,3.3,4,+919901893347,Indiranagar,Quick Bites,250,125.0
New Roll Centre,False,False,3.3,7,+918792136379,Indiranagar,Quick Bites,150,75.0
Habib's Biryani,False,False,3.6,11,+919513800888,Indiranagar,Delivery,400,200.0
The Bite Club,False,False,3.6,23,"+919620284362,0007899916773",East Bangalore,Food Truck,400,200.0
Bombay Kulfis,False,False,3.3,4,+916362951075,Indiranagar,Dessert Parlor,200,100.0
AutoExpress - Hot Dogs,True,False,3.3,6,+918496975000,Indiranagar,"Takeaway, Delivery",300,150.0
Taantraa - Organic Handbaking,False,False,3.7,29,+919731244600,Indiranagar,Delivery,350,175.0
Momscurry,True,False,2.7,19,"+917899190345,+917022406616",East Bangalore,Delivery,300,150.0
Moonlight Kitchens,True,False,3.9,123,+918722426252,Old Airport Road,Delivery,400,200.0
Juicemaker,False,False,3.7,38,+917338225251,Indiranagar,Quick Bites,250,125.0
McLeans Italian Pizzeria,True,False,3.4,31,"+919742737048,+918073638270",Ejipura,Delivery,500,250.0
VRS Food Zone,True,False,3.3,4,+918431114408,Ejipura,Quick Bites,100,50.0
Rajan's Cafe,True,False,2.8,79,08041418080,Domlur,Quick Bites,300,150.0
Grow Fit,True,False,3.8,111,08039658868,Indiranagar,Delivery,500,250.0
Waah Chef,True,False,3.3,4,+919008667000,CV Raman Nagar,Food Court,300,150.0
DilliBite,True,False,3.5,33,+919916094600,Ulsoor,Quick Bites,600,300.0
BabaYaga's,True,True,4.1,201,08049652754,Indiranagar,"Bar, Casual Dining",1500,750.0
Raat Ki Rani,True,False,4.3,264,"+917406700070,+919916272700",Jeevan Bhima Nagar,Delivery,400,200.0
Samosa Party,True,False,4.1,372,"08048513616,+919740785816",Jeevan Bhima Nagar,Quick Bites,150,75.0
Mummy's Kitchen,True,False,3.7,16,"+919538312106,+919590038927",Old Airport Road,Quick Bites,300,150.0
Paisa Vasool,True,False,3.3,8,+919718221004,Domlur,Quick Bites,400,200.0
Achayyan's,True,False,3.8,405,"+919448686099,+919620284809",Indiranagar,Quick Bites,350,175.0
Knight Riders,False,False,2.4,25,08041645706,Domlur,Bar,1000,500.0
Soup Station,True,False,3.9,112,"+917349582343,+919071082343",Domlur,Delivery,150,75.0
Raenss Cafe,True,False,2.4,129,"08041133234,08049594650",Indiranagar,Cafe,600,300.0
Peppers,True,False,2.8,94,"08025719228,+919742798806",Ejipura,Quick Bites,300,150.0
Oyster Bay,False,False,3.2,5,"+918105041414,+918040688100",Old Airport Road,Casual Dining,550,275.0
Ginseng - Royal Orchid Hotel,False,True,4.0,170,"+919686611406,+919902954007",Old Airport Road,Fine Dining,1900,950.0
L'inoui - The Leela Palace,False,False,3.5,9,08041284128,Old Airport Road,Dessert Parlor,400,200.0
Rudra Tiffin Service,False,False,3.3,4,+919513191329,Domlur,"Takeaway, Delivery",250,125.0
Momo Corner,False,False,3.8,22,"+918147625179,+919916260098",Old Airport Road,Kiosk,150,75.0
Fudgy Love Designer Cakes,False,False,3.7,20,"+919916946111,+919945673540",Domlur,"Bakery, Dessert Parlor",600,300.0
Mac Fast Food,False,False,2.8,50,"08025273292,+919741357705",Old Airport Road,Quick Bites,400,200.0
Celeste's Kitchen,False,False,3.3,5,+917829970735,Domlur,Delivery,400,200.0
Late Night,False,False,2.8,43,+918884932323,Domlur,Delivery,500,250.0
Angel Mutton Leg Soup,False,False,3.5,22,+918618287363,Jeevan Bhima Nagar,Quick Bites,200,100.0
Urban Treat,True,False,3.3,10,+919686405918,CV Raman Nagar,Quick Bites,250,125.0
Smoodies,True,False,3.7,22,+918861095945,Old Airport Road,Beverage Shop,300,150.0
The Humming Tree,True,False,4.1,2415,"+919886618386,0008066021808",Indiranagar,Lounge,1400,700.0
Chungs Pavilion,True,False,3.9,247,"08025254142,08025285403",Indiranagar,Casual Dining,650,325.0
S.W.A.T Food Truck,True,False,3.7,216,+919739725171,East Bangalore,Food Truck,450,225.0
Picante,True,False,3.6,23,08043711658,Indiranagar,Delivery,400,200.0
Dal Chawal Roti,True,False,3.3,10,"+918546862720,+919972744009",Indiranagar,Quick Bites,350,175.0
Mukati Kitchen,True,False,3.7,133,"+917899981981,+919036331981",Thippasandra,Quick Bites,500,250.0
Chinese Fire Dragon,True,False,3.4,25,"080402076499,+919902395604",Domlur,Casual Dining,550,275.0
Guns N Roses,True,False,3.6,19,"+917406660700,+918867452191",Ejipura,Quick Bites,300,150.0
Loveshack,False,True,4.0,1724,"08040959154,+919900034528",Domlur,"Lounge, Cafe",1600,800.0
Gundappa Donne Biryani,True,False,2.5,90,+919880023409,Indiranagar,Quick Bites,300,150.0
The Teal Door Cafe,True,False,4.2,1855,08049653146,Indiranagar,Cafe,800,400.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,True,True,4.4,689,08022086644,MG Road,"Casual Dining, Cafe",1700,850.0
Talk Over Table,False,False,4.0,284,"+919880100029,+919880100028",Jeevan Bhima Nagar,Cafe,500,250.0
Suchithra Biryani House,False,False,3.7,287,"08025238444,+919845888695",Old Airport Road,Casual Dining,450,225.0
Hotel Salala,False,False,3.7,73,"+919036263454,+919036264717",Old Airport Road,Quick Bites,400,200.0
Tandoori Club,True,False,3.5,5,+916363500234,Domlur,Delivery,400,200.0
Jaishree Pavilion,False,False,3.7,34,08041463848,Thippasandra,Casual Dining,700,350.0
Banarasi Tadka,False,False,2.7,16,+919972019567,Jeevan Bhima Nagar,Quick Bites,200,100.0
California Burrito,False,False,3.9,26,"08039515101,08041300787",CV Raman Nagar,"Food Court, Quick Bites",400,200.0
Calcutta Victoria Chat House,False,False,3.5,217,"+919972019567,+919035459812",Jeevan Bhima Nagar,Quick Bites,150,75.0
Bengaluru House,False,False,3.7,45,"08040923478,+919986645588",Jeevan Bhima Nagar,Casual Dining,500,250.0
New Royal Paris Restaurant,False,False,3.4,13,"08041227782,+919845132648",Old Airport Road,Quick Bites,300,150.0
Simhapuri Mess,False,False,3.8,39,+919739197139,Old Airport Road,Mess,300,150.0
Walnut Kitchen,False,False,3.0,10,+919880989928,Domlur,Quick Bites,500,250.0
Sbarro,False,False,3.4,16,+919945801140,Domlur,Quick Bites,500,250.0
New Shanthi Sagar,False,False,2.8,118,"08025354139,08025359331",Domlur,Casual Dining,450,225.0
Nandini Andhra Style Mess,False,False,3.5,28,"+919886012977,+917829799616",Old Airport Road,Quick Bites,350,175.0
Fazzito Kitchen,False,False,3.8,210,"+918884844422,+918884844433",Thippasandra,Casual Dining,700,350.0
SKY FOG,False,False,3.2,5,+919742329004,Thippasandra,"Dessert Parlor, Quick Bites",300,150.0
Palki Restaurant,False,False,2.8,93,"+919880078224,08041258217",Old Airport Road,Casual Dining,500,250.0
Allahabadi Tadaka,False,False,2.9,46,"+919739719091,+919738980803",Domlur,Casual Dining,250,125.0
KrumbKraft,False,False,3.5,5,+919448745153,Domlur,Bakery,300,150.0
Ambur Hot Dum Biriyani,False,False,3.2,5,"+918892892418,+919942952969",Jeevan Bhima Nagar,Quick Bites,200,100.0
Biryani Club,False,False,2.9,31,"+919900837278,08041224407",Jeevan Bhima Nagar,Quick Bites,400,200.0
Kanti's,False,False,3.1,63,"08025296559,08064511456",Thippasandra,Sweet Shop,150,75.0
Bhikaram Chandmal Bhujiawala,False,False,3.7,70,08022976860,Jeevan Bhima Nagar,Quick Bites,200,100.0
Taste Of Nawaab's,False,False,3.6,22,+917988921748,Domlur,Casual Dining,600,300.0
The Tower Of Pizza,False,False,2.9,68,+919831911958,Jeevan Bhima Nagar,"Takeaway, Delivery",500,250.0
Night Panda,False,False,3.5,12,+917406522007,Jeevan Bhima Nagar,"Takeaway, Delivery",500,250.0
24 Hours Cake Delivery,False,False,3.3,4,+919711655952,Old Airport Road,Delivery,700,350.0
Bake a Smile,False,False,3.4,9,"+918112236774,+918698692095",Old Airport Road,"Takeaway, Delivery",400,200.0
Tandoorinn,False,False,3.2,5,+918043719241,Old Madras Road,Quick Bites,300,150.0
Cream and Bakes,False,False,3.5,14,"+919591682110,+919663036541",Domlur,Dessert Parlor,100,50.0
Amar Kolkata,False,False,3.2,4,+918147283530,Old Airport Road,Quick Bites,300,150.0
Eggzotic,False,False,4.0,391,"08041521177,+919900642266",Domlur,Quick Bites,500,250.0
Ambur Biriyani,False,False,3.2,4,+919901476547,Old Airport Road,Quick Bites,200,100.0
Kerala Vibes,False,False,3.6,80,"+919744557251,+917558007456",Jeevan Bhima Nagar,Casual Dining,500,250.0
TFC - Tony's Food Corner,True,False,3.1,23,"+918792891794,+919972900488","ITPL Main Road, Whitefield",Casual Dining,400,200.0
Crispy Crust Pizza,True,False,3.1,45,+918884900033,Indiranagar,Delivery,450,225.0
Jumping Beans,True,False,4.0,220,+918147452210,Old Madras Road,Cafe,850,425.0
The Parotta Master,True,False,2.9,43,+918660975808,Jeevan Bhima Nagar,Delivery,400,200.0
Mayo N Burger,True,False,3.2,4,+917338047075,Indiranagar,Quick Bites,250,125.0
Bowlful,True,False,3.6,12,08039511411,Domlur,"Takeaway, Delivery",500,250.0
Cinnamon's Kitchen,True,False,3.7,25,+917349114582,Old Airport Road,Quick Bites,300,150.0
Mojo Pizza - 2X Toppings,True,False,4.3,203,02233252828,Indiranagar,"Takeaway, Delivery",600,300.0
Upsouth,True,False,3.8,52,08023094083,Banaswadi,Food Court,200,100.0
Lavonne,False,False,4.4,1099,+919740954505,Indiranagar,"Cafe, Dessert Parlor",800,400.0
Milano Ice Cream,False,False,4.9,2090,"08041256483,+918281464593",Indiranagar,Dessert Parlor,400,200.0
CakeWalk,False,False,4.1,540,"08025205393,08041611644",Indiranagar,Dessert Parlor,500,250.0
Natural Ice Cream,False,False,4.6,922,"08025200059,08025200159",Indiranagar,Dessert Parlor,150,75.0
Spoonful Of Sugar,False,False,4.0,863,"08025255534,08025255535",Indiranagar,"Dessert Parlor, Cafe",800,400.0
Pulla Reddy Sweets,False,False,3.6,27,+917975755562,Indiranagar,"Sweet Shop, Quick Bites",250,125.0
Amma's Pastries,False,False,4.0,74,+919590607750,Indiranagar,Dessert Parlor,400,200.0
Shree Mithai,False,False,3.5,11,08041104961,Indiranagar,Quick Bites,150,75.0
Sweet Truth,True,False,4.0,48,+917710055553,Indiranagar,Delivery,500,250.0
The French Loaf,True,False,3.5,138,"+917846869429,+919663454545",Indiranagar,"Bakery, Quick Bites",400,200.0
Bhikaram Chandmal Bhujiawala,False,False,3.0,41,"08022976861,+919341462534",Indiranagar,Quick Bites,150,75.0
KC Das - Sweet Paradise,False,False,2.9,52,+919740736386,Indiranagar,"Sweet Shop, Quick Bites",200,100.0
Cafe Coffee Day The Lounge,True,False,2.9,59,08032525537,Indiranagar,Cafe,650,325.0
Baskin Robbins,False,False,3.8,80,08042352445,Indiranagar,Dessert Parlor,250,125.0
Orchard Fresh,False,False,3.4,4,+919481687428,Indiranagar,Dessert Parlor,400,200.0
Madhu Iyengars Bakery,False,False,3.6,19,08025353177,Domlur,Bakery,400,200.0
Amrutha Sweets,False,False,3.7,36,"+919986777888,+918904777888",Thippasandra,Quick Bites,200,100.0
Shanthi Sweets & Bakery,False,False,3.4,9,08025292436,Thippasandra,"Sweet Shop, Quick Bites",200,100.0
Delicious Ice Cream Parlour,False,False,3.2,6,+919008100037,Jeevan Bhima Nagar,Dessert Parlor,300,150.0
Kanti's,True,False,3.3,66,"08025296559,+918296359142",Thippasandra,Sweet Shop,300,150.0
Cafe Oleiva,False,False,3.3,6,"+917411973907,+919686949704",Thippasandra,Cafe,500,250.0
Chill Out,False,False,3.4,9,+917892480904,Thippasandra,Beverage Shop,150,75.0
The Leela Cake Shop - The Leela Palace,False,False,3.9,72,08025211234,Old Airport Road,Dessert Parlor,1200,600.0
Ice Cream Buggy,False,False,3.6,14,"+917406409966,+919945690210",East Bangalore,Food Truck,100,50.0
Banchharam,False,False,3.9,65,08025360030,Ulsoor,Quick Bites,200,100.0
4 Mangoes,False,False,3.7,14,+918277309531,Old Airport Road,Kiosk,200,100.0
New Udupi Fresh Juice Centre,False,False,3.4,9,+918095614202,CV Raman Nagar,Quick Bites,200,100.0
Sly Granny - The Community House,False,True,4.4,953,"08048536712,08048536715",Indiranagar,"Fine Dining, Bar",2500,1250.0
Barbeque Nation,False,True,4.7,7160,+918064806060,Indiranagar,Casual Dining,1600,800.0
Toit,False,False,4.7,14956,+919019713388,Indiranagar,Microbrewery,1500,750.0
Bob's Bar,False,False,4.3,424,+917899025176,Indiranagar,"Bar, Casual Dining",1000,500.0
Arena - Artisanal Brewkitchen,False,True,4.1,177,"+918041133313,+919606064301",Indiranagar,"Pub, Casual Dining",2000,1000.0
Vapour Pub & Brewery,False,True,4.2,6907,08049652872,Indiranagar,"Microbrewery, Pub",1400,700.0
The Black Rabbit,False,True,4.3,4187,"08042415575,+917406636763",Indiranagar,"Bar, Casual Dining",1500,750.0
1131 Bar + Kitchen,False,True,4.6,2785,08049652166,Indiranagar,"Bar, Casual Dining",1500,750.0
Three Dots & A Dash,False,True,4.1,3864,08049653111,Indiranagar,"Casual Dining, Bar",1300,650.0
LOFT38,False,True,4.3,3592,08049337555,Indiranagar,"Lounge, Casual Dining",2100,1050.0
Chianti,False,True,4.7,4398,"08041265000,08041264000",Indiranagar,Casual Dining,1500,750.0
Tipsy Bull - The Bar Exchange,False,True,4.4,2993,08049652910,Indiranagar,"Bar, Casual Dining",1400,700.0
BTDT? Been There Done That,False,True,4.3,879,+919108974398,Indiranagar,"Bar, Casual Dining",1300,650.0
Tippler,False,True,4.2,2901,08049652782,Indiranagar,Pub,1300,650.0
Bricklane,False,True,4.2,1633,"08042415505,+917899383979",Indiranagar,Casual Dining,1500,750.0
Phobidden Fruit,False,False,4.4,2921,"08041255175,08041107735",Indiranagar,Casual Dining,1100,550.0
Bologna,False,True,4.5,717,+918043027392,Indiranagar,Casual Dining,1000,500.0
The Marina,False,False,4.4,542,08049653074,Indiranagar,Casual Dining,1200,600.0
Barebones - The Balcony Bar,False,True,4.2,2445,08049652591,Indiranagar,"Bar, Casual Dining",1500,750.0
Esplanade,False,False,4.3,1563,08040927878,Indiranagar,Casual Dining,1000,500.0
Cafe Max,False,False,4.2,1654,08041200469,Indiranagar,"Cafe, Casual Dining",1300,650.0
Chinita Real Mexican Food,False,False,4.4,2658,08045128735,Indiranagar,Casual Dining,1200,600.0
Monet's Bistro,False,False,4.5,198,"+918043727414,+919916549495",Indiranagar,Cafe,600,300.0
Plan B,False,False,4.2,1651,+918041609100,Indiranagar,"Casual Dining, Pub",1200,600.0
Empire Restaurant,True,False,4.2,8185,08045128757,Indiranagar,Casual Dining,750,375.0
Haute,False,True,4.2,69,08045128803,Indiranagar,Casual Dining,1200,600.0
Swing,False,True,3.8,201,08049653450,Indiranagar,"Casual Dining, Bar",1000,500.0
Sanchez Taqueria & Cantina,False,False,4.1,57,"08024400081,08042200081",Indiranagar,Casual Dining,800,400.0
Wall Street 657,False,False,4.1,1858,"+919900927657,00919742659299",Indiranagar,Bar,1200,600.0
Xtreme Sports Bar,False,True,3.6,1111,"+919663312706,+918668873469",Indiranagar,Lounge,1400,700.0
Agent Jack's Bar,False,True,4.0,592,08049653212,Indiranagar,Bar,1300,650.0
Hangover,True,True,4.0,1413,08049653251,Indiranagar,"Bar, Casual Dining",1500,750.0
Pecos Stones,False,True,4.2,1089,"+918971664068,+919986524411",Indiranagar,"Pub, Casual Dining",1100,550.0
Soo Ra Sang,False,False,4.1,290,"+918095183033,08041303435",Indiranagar,Casual Dining,1500,750.0
Elongo's,False,False,3.9,48,08043760158,Indiranagar,Bar,900,450.0
Wanley,False,False,4.0,514,"08025253463,+919591373167",Indiranagar,Casual Dining,500,250.0
Sherlock's Pub,False,True,3.9,644,"+918884445645,+918884445646",Indiranagar,"Pub, Casual Dining",1500,750.0
A2B - Adyar Ananda Bhavan,True,False,3.0,564,"18001036363,08041155099",Indiranagar,Casual Dining,400,200.0
Pot-O-Noodles,False,False,4.5,60,08043747204,Indiranagar,Casual Dining,800,400.0
Annapoorani,False,False,3.9,434,"08025252288,+919845044470",Indiranagar,Casual Dining,500,250.0
Jimi's Beer Cafe,False,True,3.9,815,"+918892607344,08025203879",Indiranagar,Bar,1700,850.0
Bflat Bar,False,True,3.9,854,"+919591126639,+918170086848",Indiranagar,Lounge,1600,800.0
Bootlegger,False,True,4.0,601,+918025200099,Indiranagar,Lounge,1800,900.0
The Mad Teapot,False,True,4.1,289,08040931683,Indiranagar,Cafe,850,425.0
UTHRA,False,True,4.0,103,"+919113857553,08048667065",Indiranagar,Casual Dining,800,400.0
Doff Pub and Lounge,False,True,4.1,1341,"+917996604540,+917020190128",Indiranagar,Lounge,1500,750.0
Thai House,True,False,4.2,224,08048658489,Indiranagar,Casual Dining,800,400.0
Regulars Pub & Grub,False,True,3.8,263,"08025217428,08025217429",Indiranagar,"Pub, Casual Dining",1000,500.0
Nakkshatra,False,True,3.9,79,"08050925666,08042800999",Indiranagar,Casual Dining,1100,550.0
New Shanthi Sagar,False,False,2.8,211,"08025251321,0025917712",Indiranagar,Casual Dining,650,325.0
The Beer Joint,False,False,3.4,77,08025250346,Indiranagar,Casual Dining,800,400.0
Blistering Barnacles,False,True,3.9,1214,08041263332,Indiranagar,Pub,1200,600.0
Cafe Ritzz,False,True,3.7,39,"+917406353591,+918123629729",Indiranagar,Casual Dining,800,400.0
Take 5,False,False,3.5,10,08065300645,Indiranagar,Lounge,1300,650.0
Shree Annapoorneshwari Mess,False,False,3.3,7,+919880689230,Indiranagar,Mess,200,100.0
Amexicano,False,False,3.8,31,"+919947737743,+919590778822",East Bangalore,Food Truck,400,200.0
Pizza Hut,True,False,3.1,10,+919844744563,Indiranagar,Casual Dining,750,375.0
H3O,False,False,3.1,11,"08025288881,+919880553623",Indiranagar,Bar,1000,500.0
Head O State,False,True,3.8,198,08043770333,Indiranagar,"Casual Dining, Bar",1000,500.0
Mavalli Tiffin Room (MTR),False,False,4.3,1878,"08041690688,+919886894116",Indiranagar,Quick Bites,300,150.0
Sendhoor Coffee,False,False,3.9,49,+919900300786,Indiranagar,Quick Bites,150,75.0
KFC,True,False,3.1,668,08033994444,Indiranagar,Quick Bites,450,225.0
Domino's Pizza,True,False,3.0,464,"08025217444,18602100000",Indiranagar,Quick Bites,800,400.0
Five Star Chicken,True,False,3.7,78,+918123456504,Indiranagar,Quick Bites,200,100.0
Leon Grill,True,False,4.2,315,08048906619,Indiranagar,Quick Bites,500,250.0
Cafe Srinidhi,False,False,3.4,90,08025202259,Indiranagar,Quick Bites,200,100.0
The Chennai Express,False,False,3.8,166,08068888856,Indiranagar,Quick Bites,200,100.0
Kylie's,False,False,4.2,261,+919741275151,Indiranagar,Quick Bites,500,250.0
Shivaji Military Hotel,False,False,3.2,4,+919880326652,Indiranagar,Quick Bites,150,75.0
Halli Mane Rotti,False,False,3.4,8,+918105288801,Indiranagar,Quick Bites,150,75.0
California Burrito,False,False,4.2,253,"08049597749,08039515101",Indiranagar,Quick Bites,400,200.0
Ambur Biriyani,False,False,3.5,41,"+919980830833,+919019264461",Indiranagar,Quick Bites,250,125.0
Rotti Mane,True,False,3.6,20,+918105590665,Indiranagar,Quick Bites,200,100.0
Pathaan Sir,True,False,3.4,155,08040901565,Indiranagar,Quick Bites,250,125.0
Chakum Chukum Calcutta On A Roll,True,False,3.4,89,"+918041243691,+918042115536",Indiranagar,Quick Bites,400,200.0
Subway,True,False,2.4,258,"08041486266,0919880435789",Indiranagar,Quick Bites,600,300.0
Chai & Kadi,False,False,3.8,30,+919448557993,Indiranagar,Quick Bites,200,100.0
Chaithanya Veg,False,False,3.7,38,08025283252,Indiranagar,Quick Bites,200,100.0
Lazer Castle,False,False,3.0,28,"+919845207866,+919886786039",Indiranagar,Quick Bites,300,150.0
Om Sai Skanda Dosa Camp,False,False,3.9,29,+919845578328,Indiranagar,Quick Bites,150,75.0
Vani Hindu Military Hotel,False,False,3.3,4,"+919341882194,+918277361653",Indiranagar,Quick Bites,250,125.0
Goli Vada Pav No. 1,False,False,3.6,39,"08041136624,+919986158337",Indiranagar,Quick Bites,200,100.0
Smoodys,False,False,3.0,14,"+918041241946,+917022227532",Indiranagar,Quick Bites,350,175.0
BR Military Hotel,False,False,3.1,6,+919740056789,Indiranagar,Quick Bites,300,150.0
King Burger Cafeteria,False,False,3.1,11,+918884613097,Indiranagar,Quick Bites,250,125.0
Sri Vasavi Super Sandwich,False,False,3.1,19,"+919448064518,+918970897675",Indiranagar,Quick Bites,200,100.0
Kerala Mess,False,False,3.6,33,+919591262148,Indiranagar,Quick Bites,300,150.0
Murphy's Brewhouse - The Paul Bangalore,False,True,4.3,2031,"08040477755,08040477777",Domlur,"Pub, Microbrewery",1700,850.0
Vembanad - The Paul,False,True,4.2,325,"08040477777,+919902010385",Domlur,Casual Dining,1800,900.0
Gurukrupa Paratha House,True,False,3.1,330,"+919886419120,+919611349655",Domlur,Casual Dining,500,250.0
The Velu's,False,False,3.6,12,+918884326434,Domlur,Kiosk,200,100.0
Chef Inn Regency,False,False,3.3,4,+919676220383,Domlur,"Casual Dining, Bar",800,400.0
Vinny's,True,False,4.1,360,"08041646123,+919845846988",Domlur,Casual Dining,600,300.0
Masala Dani - The Paul,False,False,3.7,56,"08040477777,+919902010385",Domlur,Casual Dining,1800,900.0
Quench Bar,False,False,4.0,108,"08040602020,08040602020",Domlur,Bar,1300,650.0
Malabar,True,False,3.0,159,"08025290660,+919844505800",Jeevan Bhima Nagar,Quick Bites,400,200.0
Banana Leaf,False,False,3.5,12,"08025353344,+919880089024",Domlur,Casual Dining,500,250.0
Night Booze,False,False,3.2,8,+918861327653,Thippasandra,"Casual Dining, Bar",600,300.0
Sandras Bar & Restaurant,False,False,3.2,10,+918025255080,Thippasandra,Casual Dining,600,300.0
Sri Ganesh Fruit Juice Centre,True,False,3.6,17,"+918971805113,+919845605982",Thippasandra,Beverage Shop,100,50.0
Serenitea4u,False,False,3.4,9,08048527616,Jeevan Bhima Nagar,"Beverage Shop, Quick Bites",100,50.0
Haveli,False,False,3.6,22,"+919590363934,+919606602343",Thippasandra,Casual Dining,300,150.0
Sri Krishna Sagar,False,False,3.6,64,+918105289136,Domlur,Quick Bites,150,75.0
Chai Resto,False,False,3.3,5,+917483336717,Jeevan Bhima Nagar,Quick Bites,200,100.0
Faasos,True,False,4.1,110,+917700020020,Thippasandra,Quick Bites,500,250.0
Shri Krishna Bhavan,False,False,3.7,96,"+919880088751,+919845007919",Thippasandra,Quick Bites,350,175.0
Momo Rice Noodles,True,False,3.2,84,"+919606587913,+919538848774",Domlur,Quick Bites,600,300.0
Neer Dose Fish Land,False,False,3.5,8,+919972044869,Domlur,Quick Bites,250,125.0
Mary Cafe,False,False,3.3,17,+918867038026,Thippasandra,Quick Bites,150,75.0
Home Touch Hotel,False,False,3.2,4,+919845401402,Jeevan Bhima Nagar,Quick Bites,150,75.0
Biryani Palace,False,False,3.2,7,+919845150817,Jeevan Bhima Nagar,Quick Bites,200,100.0
Krish Punjabi Kitchen,False,False,3.6,17,"+918867916386,+919986766260",Thippasandra,Quick Bites,500,250.0
Donne Biryani Angadi Mane,False,False,3.1,8,+919738388946,Thippasandra,Quick Bites,250,125.0
Big Pitcher,False,True,4.7,9041,08049652494,Old Airport Road,"Pub, Microbrewery",1800,900.0
Yauatcha,False,True,4.6,2332,+919222222800,MG Road,Fine Dining,2800,1400.0
Citrus - The Leela Palace,False,True,4.2,590,08025211234,Old Airport Road,Fine Dining,3500,1750.0
